user_id,matches,recomendations,train,eval
U_7001215,0,2,3,2
U_7423998,0,2,5,2
U_545306,0,3,7,3
U_10783393,0,1,3,1
U_7594103,0,2,4,2
U_9846519,0,1,3,1
U_9538387,0,1,3,1
U_3234246,0,2,3,2
U_3234249,0,3,6,3
U_9364708,0,2,3,2
U_6978915,1,2,4,2
U_7726028,0,2,4,2
U_7834213,0,1,3,1
U_6643176,0,2,4,2
U_6580509,0,1,3,1
U_10521268,0,2,4,2
U_10521265,0,3,8,3
U_2464581,0,4,11,4
U_8155641,0,2,3,2
U_2007523,0,4,10,4
U_610566,0,1,3,1
U_6239563,0,6,16,6
U_3247308,0,1,3,1
U_7415411,0,4,9,4
U_7430808,0,1,3,1
U_11907057,0,1,3,1
U_7973418,0,2,4,2
U_7108656,0,1,3,1
U_10202058,0,1,3,1
U_8402071,0,2,5,2
U_1095842,0,1,3,1
U_10566467,0,2,4,2
U_9311025,0,1,3,1
U_446016,0,3,8,3
U_6178257,0,1,3,1
U_8860157,0,1,3,1
U_1119491,0,2,3,2
U_10598667,1,1,3,1
U_11579202,0,1,3,1
U_322059,0,3,9,3
U_6672408,0,2,3,2
U_7420588,0,1,3,1
U_7695099,0,1,3,1
U_10567675,0,2,5,2
U_6767785,0,2,3,2
U_6245620,0,1,3,1
U_10519923,1,1,3,1
U_6819855,0,3,6,3
U_279082,0,1,3,1
U_9456917,0,1,3,1
U_9224909,0,2,3,2
U_8035216,0,2,4,2
U_8095750,0,2,3,2
U_7144186,0,1,3,1
U_7144183,0,2,6,2
U_651188,0,2,3,2
U_6435302,0,2,3,2
U_7792819,0,1,3,1
U_7185431,0,6,15,6
U_6405153,0,1,3,1
U_7794432,0,2,3,2
U_7153841,0,2,3,2
U_10501649,0,1,3,1
U_679343,0,2,6,2
U_520358,0,1,3,1
U_7124622,0,1,3,1
U_6494430,0,5,13,5
U_9436936,0,2,3,2
U_8749378,0,2,4,2
U_2498484,0,2,3,2
U_8226904,0,1,3,1
U_8436739,1,5,12,5
U_8424304,0,1,3,1
U_10140938,0,5,15,5
U_3050431,1,2,3,2
U_5533787,0,2,5,2
U_7073440,0,2,3,2
U_8017692,0,1,3,1
U_10220066,0,2,4,2
U_9048106,0,1,3,1
U_9172435,0,2,4,2
U_10197569,0,4,9,4
U_2736517,0,3,7,3
U_1185402,0,2,3,2
U_8425772,0,1,3,1
U_7372005,0,2,5,2
U_9035797,0,4,12,4
U_8493282,0,2,6,2
U_25454,0,2,4,2
U_8377752,0,1,3,1
U_8431504,0,1,3,1
U_1725921,0,1,3,1
U_9152806,0,3,7,3
U_10634434,0,2,4,2
U_118279,0,1,3,1
U_9138229,1,12,36,12
U_10599321,0,2,5,2
U_6524754,0,1,3,1
U_10669600,0,1,3,1
U_1090841,0,1,3,1
U_8657153,0,3,9,3
U_7581972,0,2,3,2
U_7089104,0,2,5,2
U_10233020,0,1,3,1
U_6711784,0,3,6,3
U_8247393,0,2,3,2
U_4339543,0,2,4,2
U_7068501,0,1,3,1
U_1133818,0,1,3,1
U_2552325,0,1,3,1
U_7085733,0,2,5,2
U_10887185,0,1,3,1
U_10609787,0,1,3,1
U_3176926,0,5,12,5
U_7115022,0,1,3,1
U_5309889,0,2,3,2
U_262457,0,2,4,2
U_382086,0,2,4,2
U_1230574,0,1,3,1
U_1230579,0,2,3,2
U_4351217,0,1,3,1
U_4351214,0,4,10,4
U_362989,0,2,4,2
U_10525039,0,2,4,2
U_10525034,1,1,3,1
U_7428953,0,2,6,2
U_9089648,0,1,3,1
U_8385229,0,1,3,1
U_7026569,0,1,3,1
U_7026568,0,2,6,2
U_2936201,0,2,5,2
U_8123707,0,1,3,1
U_6471914,0,1,3,1
U_2618861,0,1,3,1
U_4441492,0,2,5,2
U_4441494,0,1,3,1
U_4441496,0,2,4,2
U_4441498,0,2,4,2
U_8384432,0,2,3,2
U_7807563,0,3,6,3
U_8877819,0,2,4,2
U_2937051,0,2,4,2
U_8568104,0,2,3,2
U_9987152,0,2,3,2
U_7780733,0,2,3,2
U_10770703,0,2,4,2
U_8455193,0,3,6,3
U_993552,0,2,4,2
U_10250173,0,1,3,1
U_242132,0,1,3,1
U_8397563,0,1,3,1
U_7948802,0,1,3,1
U_2528888,0,2,3,2
U_467043,0,2,3,2
U_4442340,0,2,3,2
U_10196388,0,1,3,1
U_9563758,0,2,3,2
U_359164,0,1,3,1
U_7101780,0,2,4,2
U_7657575,0,2,3,2
U_8825296,0,2,3,2
U_8475639,0,1,3,1
U_2522468,0,1,3,1
U_7080389,0,1,3,1
U_7080387,0,2,4,2
U_46567,0,1,3,1
U_1547033,0,2,4,2
U_7634612,0,2,3,2
U_7098347,0,2,4,2
U_11080588,0,1,3,1
U_3692181,0,2,4,2
U_9016798,2,4,10,4
U_6588117,0,2,3,2
U_3182615,0,1,3,1
U_206561,0,1,3,1
U_8527237,0,1,3,1
U_8527234,0,2,5,2
U_505776,0,2,6,2
U_657838,0,2,3,2
U_2383401,0,2,3,2
U_464270,0,2,3,2
U_4461134,0,2,6,2
U_6554552,0,2,4,2
U_9767221,0,2,3,2
U_9589969,0,2,4,2
U_8164249,0,2,5,2
U_8451476,0,1,3,1
U_8020637,0,2,4,2
U_207553,0,2,4,2
U_31149,0,1,3,1
U_6448791,0,2,5,2
U_8457609,0,1,3,1
U_4597592,0,1,3,1
U_3122432,0,3,7,3
U_10599397,0,2,5,2
U_9112846,0,2,3,2
U_499176,0,1,3,1
U_10143270,0,2,3,2
U_8853070,0,3,9,3
U_10509949,1,1,3,1
U_448238,0,2,5,2
U_409035,0,2,5,2
U_7107422,0,1,3,1
U_2967444,0,2,3,2
U_641777,0,1,3,1
U_4489998,0,1,3,1
U_6705966,0,4,11,4
U_7060040,0,2,4,2
U_8274,0,1,3,1
U_8070431,0,1,3,1
U_1103245,0,5,13,5
U_9112112,0,3,6,3
U_7100294,0,5,12,5
