recomendations,matches,posible
13,1,2
13,1,2
15,0,3
14,2,2
15,1,2
15,1,3
15,0,2
15,1,2
15,1,2
12,1,2
15,1,2
15,0,3
15,1,4
15,2,2
15,0,4
15,2,6
15,1,4
15,1,2
15,0,2
15,1,2
15,2,3
15,0,2
15,2,3
15,1,2
15,2,2
15,0,2
15,1,3
15,0,2
15,2,2
15,1,2
15,1,2
15,2,2
15,0,2
15,0,6
15,1,2
15,0,2
15,1,2
15,0,5
15,0,2
15,0,2
15,1,2
15,2,5
15,0,5
11,2,2
15,0,2
15,2,2
15,1,2
15,1,2
15,2,4
15,0,3
15,1,2
15,1,2
15,0,4
15,0,2
15,0,2
15,0,3
15,1,2
15,0,12
15,0,2
15,1,3
15,0,2
15,0,2
15,0,3
15,1,2
15,0,2
15,1,2
15,0,5
15,1,2
15,1,2
15,1,2
15,1,2
15,0,4
15,1,2
15,0,2
15,0,2
12,1,2
15,1,2
14,0,2
15,1,2
15,0,2
15,1,2
15,1,3
15,0,2
15,0,2
15,1,2
15,2,2
15,1,2
15,0,2
15,1,3
15,2,2
15,0,2
15,1,2
15,1,2
15,2,2
15,2,2
15,1,2
15,0,2
15,1,2
15,0,2
15,1,2
15,1,2
15,1,2
15,1,4
15,1,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,1,2
15,2,2
15,0,2
15,0,2
15,1,2
15,0,3
15,1,2
15,1,2
15,2,2
15,1,3
15,0,2
15,1,2
15,2,2
15,2,4
15,0,2
15,1,5
15,2,3
15,0,5
15,0,2
15,0,4
15,0,2
15,0,2
15,1,2
15,1,2
15,1,2
15,1,2
15,1,2
15,2,2
15,2,2
15,1,2
15,1,3
15,1,2
15,1,2
15,0,6
15,0,3
15,1,2
15,0,2
15,0,3
15,2,3
15,1,2
15,0,2
15,0,2
15,1,2
15,0,2
15,1,2
15,0,2
13,2,2
15,0,3
15,0,2
15,2,3
15,1,3
15,1,5
15,1,2
15,3,3
15,0,2
15,1,3
15,1,2
15,0,4
15,0,2
15,0,2
15,0,2
15,2,2
15,0,2
15,1,2
15,1,2
15,0,3
15,0,3
15,1,2
15,2,2
15,1,3
15,0,2
15,0,4
15,0,2
15,0,12
15,1,2
15,1,4
15,2,2
15,0,2
15,0,2
15,0,2
15,0,2
15,0,2
15,1,3
15,0,2
15,1,2
15,1,2
15,0,2
15,1,2
15,0,3
15,1,2
15,2,2
15,1,2
15,2,3
15,1,2
15,0,3
15,1,2
15,1,2
15,2,2
15,0,2
15,1,4
15,1,3
15,2,2
15,1,2
15,0,4
15,0,2
15,1,2
15,1,2
15,0,2
15,1,2
15,1,2
15,2,7
15,1,3
15,0,2
15,2,2
15,0,2
15,2,2
15,0,2
15,0,2
15,2,3
15,1,2
15,1,2
15,0,2
15,2,2
15,2,2
15,0,2
15,2,2
15,2,2
15,1,3
15,0,2
