user_id,num_recomendations,evaluate,matches
U_10000168,2,2,2
U_10000205,3,3,2
U_10000338,2,2,1
U_10000415,2,2,2
U_10000491,2,2,1
U_1000063,2,2,2
U_10000658,2,2,2
U_10001302,2,2,1
U_10001348,3,3,2
U_1000149,3,3,2
U_10001784,2,2,1
U_10002175,2,2,1
U_10002610,5,5,2
U_1000541,4,4,2
U_1000603,3,3,1
U_1000752,3,3,1
U_1000850,2,2,1
U_10008612,2,2,2
U_10009424,2,2,1
U_10009468,2,2,1
U_10017217,2,2,2
U_10017438,2,2,1
U_10017915,2,2,2
U_10017973,2,2,2
U_10018930,2,2,2
U_10019770,2,2,1
U_10019785,2,2,1
U_10020238,3,3,1
U_10020438,3,3,2
U_10020747,2,2,2
U_10021012,2,2,1
U_10021027,2,2,0
U_10021046,2,2,0
U_10021286,2,2,1
U_10021673,2,2,1
U_10021722,2,2,1
U_10023829,2,2,1
U_10023837,2,2,2
U_10024003,3,3,3
U_10024070,2,2,1
U_10024265,2,2,2
U_10025408,2,2,1
U_10025608,2,2,2
U_10025906,3,3,2
U_10025962,2,2,1
U_10025999,2,2,2
U_10026175,2,2,0
U_10026492,2,2,2
U_1002679,2,2,2
U_1002720,3,3,2
U_10027644,2,2,2
U_1002765,2,2,2
U_10028032,2,2,2
U_1002971,3,3,2
U_1003076,3,3,2
U_10030787,3,3,2
U_10031580,10,10,7
U_10032663,5,5,2
U_10032755,2,2,1
U_10032843,2,2,1
U_10033130,2,2,1
U_10033444,2,2,1
U_10033471,2,2,1
U_10033511,2,2,2
U_10033590,2,2,1
U_10033809,2,2,2
U_10034193,3,3,2
U_10034749,3,3,2
U_10035534,4,4,3
U_10035631,3,3,3
U_10036091,3,3,1
U_10036371,2,2,1
U_10036469,5,5,3
U_10036482,2,2,1
U_10037941,4,4,3
U_10038946,2,2,0
U_10038994,2,2,1
U_10039307,3,3,2
U_10039545,2,2,2
U_10040189,2,2,2
U_10040641,2,2,1
U_10041727,2,2,1
U_10041835,2,2,2
U_10041882,2,2,2
U_10042137,2,2,2
U_10042367,2,2,2
U_1004242,3,3,3
U_10042494,4,4,3
U_100427,3,3,1
U_10042737,4,4,2
U_10042779,2,2,1
U_10042832,2,2,1
U_10042894,3,3,1
U_10043060,2,2,2
U_100434,3,3,1
U_10044000,2,2,2
U_100441,2,2,1
U_10044873,2,2,2
U_10044899,2,2,2
U_10045141,2,2,1
U_10045238,3,3,3
U_10046378,2,2,1
U_10046493,2,2,1
U_10046970,2,2,1
U_10047019,2,2,2
U_10047472,2,2,2
U_10047697,2,2,1
U_10049711,2,2,1
U_10050453,3,3,2
U_10050522,2,2,2
U_10050868,2,2,1
U_10051274,2,2,1
U_10051367,2,2,1
U_10051596,2,2,2
U_10051655,2,2,0
U_100520,8,8,4
U_10052298,2,2,1
U_10052314,2,2,0
U_10053251,2,2,2
U_1005532,3,3,2
U_10056382,2,2,1
U_10056442,2,2,0
U_10056548,2,2,0
U_1005691,3,3,3
U_1005762,3,3,2
U_1005779,3,3,2
U_10059332,3,3,2
U_10059834,2,2,1
U_10060006,2,2,0
U_10060452,2,2,2
U_10060757,2,2,2
U_10060839,2,2,2
U_10060891,2,2,0
U_10061386,2,2,1
U_100622,8,8,4
U_1006223,3,3,3
U_1006324,4,4,2
U_10063530,2,2,1
U_10064114,2,2,1
U_10064404,2,2,1
U_10064671,2,2,1
U_10065297,3,3,1
U_10065396,2,2,1
U_1006639,2,2,1
U_10067830,2,2,1
U_10069699,3,3,1
U_10069703,2,2,1
U_10070074,2,2,1
U_10070086,2,2,1
U_10070381,2,2,1
U_10071403,3,3,2
U_10071492,3,3,2
U_10071644,2,2,2
U_10072054,2,2,1
U_10072779,2,2,1
U_10072868,2,2,1
U_10073176,2,2,2
U_10073375,2,2,2
U_10073496,2,2,2
U_10073683,2,2,1
U_1007382,3,3,2
